Ligand 1;Ligand 2;Ligand 3;Ligand 4;Receptor 1;Receptor 2;Receptor 3;Receptor 4;Receptor 5;Alias;Family;Subfamily;Other family;Reference
RSPO4;;;;LGR4;;;;;;Wnt pathway;;;21693646
RSPO1;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO2;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO3;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO4;;;;LGR5;;;;;;Wnt pathway;;;21693646
RSPO1;;;;LGR6;;;;;;Wnt pathway;;;21727895
RSPO2;;;;LGR6;;;;;;Wnt pathway;;;21727895
RSPO3;;;;LGR6;;;;;;Wnt pathway;;;21727895
RSPO4;;;;LGR6;;;;;;Wnt pathway;;;21727895
FAM3C;;;;LIFR;;;;;;Cytokine;type 1;;30692635
BST2;;;;LILRA4;;;;;;;;;19564354
HLA-F;;;;LILRB1;;;;;;HLA recognition;;;"11169396; 9285411; 9382880"
HLA-G;;;;LILRB1;;;;;LILRB1=ILT2;HLA recognition;;Checkpoint;"17056715;19841038"
HLA-A;;;;LILRB1;;;;;;HLA recognition;;;"9285411; 9382880"
HLA-B;;;;LILRB1;;;;;;HLA recognition;;;"9285411; 9382880"
HLA-C;;;;LILRB1;;;;;;HLA recognition;;;"9285411; 9382880"
HLA-G;;;;LILRB2;;;;;LILRB2=ILT4;HLA recognition;;Checkpoint;17056715
CD1D;;;;LILRB2;;;;;;HLA recognition;;;19124746
SEMA4A;;;;LILRB2;;;;;;HLA recognition;;;29467366
HLA-F;;;;LILRB2;;;;;;HLA recognition;;;11169396
HLA-C;;;;LILRB2;;;;;;;;;12853576
LAIR1;;;;LILRB4;;;;;LILRB4=ILT3;HLA recognition;;;19283782
LCN1;;;;LMBR1L;;;;;;;;;11287427
SERPINE1;;;;LRP1;;;;;;Cell adhesion;;;15001579
MDK;;;;LRP1;;;;;;;;;10772929
APOB;;;;LRP2;;;;;LRP2=megalin;;;;10330424
1,00 DKK;;;;LRP4;;;;;;Wnt pathway;;;19936252
SOST;;;;LRP4;;;;;;Wnt pathway;;;19936252
SOST;;;;LRP5;;;;;;Wnt pathway;;;15908424
1,00 DKK;;;;LRP5;;;;;;Wnt pathway;;;22000856
2,00 DKK;;;;LRP5;;;;;;Wnt pathway;;;"22589387; 11357136"
SOST;;;;LRP6;;;;;;Wnt pathway;;;15908424
4,00 DKK;;;;LRP6;;;;;;Wnt pathway;;;29925589
1,00 DKK;;;;LRP6;;;;;;Wnt pathway;;;"11357136; 22000856"
2,00 DKK;;;;LRP6;;;;;;Wnt pathway;;;"22589387; 11357136"
LRPAP1;;;;LRP8;;;;;;;;;10571241
RELN;;;;LRP8;;;;;;;;;10571241
APOB;;;;LSR;;;;;;;;;29178324
APOE;;;;LSR;;;;;;;;;29178324
TNFSF14;;;;LTBR;;;;;;Cytokine;TNF;;11239407
ALKAL1;;;;LTK;;;;;;;;;26630010
ALKAL2;;;;LTK;;;;;;;;;26630010
LY9;;;;LY9;;;;;LY9=SLAMF3;;;;16365421
MCAM;;;;MCAM;;;;;;Cell adhesion;;;17982057
CNTN1;;;;MCAM;;;;;;Cell adhesion;;;35922511
GAS6;;;;MERTK;;;;;;;;;9160883
PROS1;;;;MERTK;;;;;;;;;25568918
HGF;;;;MET;;;;;;Growth factor;;;15218027
DCN;;;;MET;;;;;;Growth factor;;;19433454
PTN;;;;MFRP;;;;;;;;;36178190
THPO;;;;MPL;;;;;;Cytokine;type 1;;11784712
MPZL1;;;;MPZL1;;;;;;;;;35922511
ADM;;;;MRGPRX2;;;;;;;;;16111673,15823563,
MST1;;;;MST1R;;;;;;Growth factor;;;"8062829;9045873"
SIGLEC9;;;;MUC1;;;;;;;;;"27595232 ; 24045940"
KMT2E;;;;NCR2;;;;;;;;;23958951
NCR3LG1;;;;NCR3;;;;;"NCR3LG1=B7-H6 ; NCR3=NKp30";Checkpoint;B7;;23954143
BAG6;;;;NCR3;;;;;NCR3=NKp30;;;;18055229
CADM3;;;;NECTIN1;;;;;;;;;15741237
CADM3;;;;NECTIN3;;;;;;;;;15741237
CADM1;;;;NECTIN3;;;;;;;;;22703826
ICAM5;;;;NEO1;;;;;;Cell adhesion;;;32822567
IGFBP7;;;;NEO1;;;;;;Growth factor;;;32822567
IGFBPL1;;;;NEO1;;;;;;Growth factor;;;32822567
LTF;;;;NEO1;;;;;;;;;32822567
CD80;;;;NGFR;;;;;TNFRSF16 = NGFR;;;;35922511
NMB;;;;NMBR;;;;;;;;;1655761
GRP;;;;NMBR;;;;;;;;;10545285
CNTN1;;;;NOTCH1;;;;;;Notch pathway;;;14567914
DLK1;;;;NOTCH1;;;;;;Notch pathway;;;16921404
DLL3;;;;NOTCH1;;;;;;Notch pathway;;;16921404
DLL1;;;;NOTCH1;;;;;;Notch pathway;;;21685328
JAG1;;;;NOTCH1;;;;;JAG1=CD339;Notch pathway;;;"15137944;18292500;16921404"
DLL4;;;;NOTCH1;;;;;;Notch pathway;;;"15137944;19494260"
JAG2;;;;NOTCH1;;;;;JAG2=SER2;Notch pathway;;;"22503540;21352254;16921404"
CNTN1;;;;NOTCH2;;;;;;Notch pathway;;;14567914
DLL3;;;;NOTCH2;;;;;;Notch pathway;;;16921404
JAG1;;;;NOTCH2;;;;;;Notch pathway;;;16921404
JAG2;;;;NOTCH2;;;;;;Notch pathway;;;16921404
DLL1;;;;NOTCH2;;;;;;Notch pathway;;;21685328
DLK1;;;;NOTCH2;;;;;;Notch pathway;;;22353464
DLL4;;;;NOTCH2;;;;;;Notch pathway;;;"15137944;19494260"
MDK;;;;NOTCH2;;;;;;Notch pathway;;;18469519
DLL3;;;;NOTCH3;;;;;;Notch pathway;;;16921404
JAG1;;;;NOTCH3;;;;;;Notch pathway;;;16921404
JAG2;;;;NOTCH3;;;;;;Notch pathway;;;16921404
DLL1;;;;NOTCH3;;;;;;Notch pathway;;;21685328
DLK1;;;;NOTCH3;;;;;;Notch pathway;;;22353464
DLL4;;;;NOTCH3;;;;;;Notch pathway;;;"15137944;19494260"
DLL1;;;;NOTCH4;;;;;;Notch pathway;;;16921404
DLL3;;;;NOTCH4;;;;;;Notch pathway;;;16921404
DLL4;;;;NOTCH4;;;;;;Notch pathway;;;16921404
JAG1;;;;NOTCH4;;;;;;Notch pathway;;;16921404
JAG2;;;;NOTCH4;;;;;;Notch pathway;;;16921404
DLK1;;;;NOTCH4;;;;;;Notch pathway;;;22353464
OSTN;;;;3,00 NPR;;;;;;Growth factor;;;"19244276;17951249"
CNTN1;;;;NRCAM;;;;;;Cell adhesion;;;35922511
PGF;;;;NRP1;;;;;;Growth factor;;;9712843
VEGFB;;;;NRP1;;;;;;Growth factor;;;11181169
VEGFA;;;;NRP1;;;;;;Growth factor;;;"11181169 ; 21653826"
C3;;;;NRP1;;;;;;Innate immune;Complement;;31572401
C4A;;;;NRP1;;;;;;Innate immune;Complement;;31572401
HGF;;;;NRP1;;;;;;Growth factor;FGF family;;15695515
FGF1;;;;NRP1;;;;;;Growth factor;FGF family;;15695515
FGF2;;;;NRP1;;;;;;Growth factor;FGF family;;15695515
FGF4;;;;NRP1;;;;;;Growth factor;FGF family;;15695515
FGF7;;;;NRP1;;;;;;Growth factor;FGF family;;15695515
FGFR1;;;;NRP1;;;;;;Growth factor;FGF family;;15695515
SEMA4A;;;;NRP1;;;;;;;Semaphorin;;23913274
SEMA3A;;;;NRP1;;;;;;;Semaphorin;;29067024
VEGFA;;;;NRP2;;;;;;Growth factor;;;11181169
PGF;;;;NRP2;;;;;;Growth factor;;;12613545
VEGFC;;;;NRP2;;;;;;Growth factor;;;16621967
SEMA3C;;;;NRP2;;;;;;;Semaphorin;;29067024
SEMA3F;;;;NRP2;;;;;;;Semaphorin;;"29067024 ; 25068647"
NLGN1;;;;NRXN1;;;;;;;;;22750515
TIE1;;;;NTRK1;;;;;LRFN2=SALM1;;;;32822567
SLITRK4;;;;OLR1;;;;;;;;;35922511
AVP;;;;OXTR;;;;;;;;;10858434
OXT;;;;OXTR;;;;;;;;;30737392
CD274;;;;PDCD1;;;;;CD274 = PDL1;Checkpoint;B7;;23954143
PDCD1LG2;;;;PDCD1;;;;;;Checkpoint;B7;;23954143
PDGFA;;;;PDGFRA;;;;;;Cytokine;RTK;Growth factor;"15207811;9739761"
PDGFB;;;;PDGFRA;;;;;;Cytokine;RTK;Growth factor;"15207811;9739761"
PDGFC;;;;PDGFRA;;;;;;Cytokine;RTK;Growth factor;"15207811;9739761"
PDGFD;;;;PDGFRB;;;;;;Cytokine;RTK;Growth factor;11331881
PDGFB;;;;PDGFRB;;;;;;Cytokine;RTK;Growth factor;"15207811;9739761"
CLEC1B;;;;PDPN;;;;;CLEC1B=CLEC2;;;;25458834
EZR;;;;PDPN;;;;;;;;;17046996
MSN;;;;PDPN;;;;;;;;;17046996
APLP2;;;;PIGR;;;;;;;;;35922511
CD99;;;;PILRA;;;;;;;;;18234675
CCL18;;;;PITPNM3;;;;;PITPNM3=ACKR6;Chemokine;CC;;22633458
PLAU;;;;PLAUR;;;;;;;;;11501527
MELTF;;;;PLG;;;;;;;;;15936756
PLG;;;;PLGRKT;;;;;;;;;25568918
SLPI;;;;PLSCR1;;;;;;;;;19333378
SLPI;;;;PLSCR4;;;;;;;;;19333378
SERPINF1;;;;PLXDC1;;;;;;;;;25535841
SERPINF1;;;;PLXDC2;;;;;;;;;25535841
SEMA6A;;;;PLXNA4;;;;;;;Semaphorin;;20606624
SEMA6B;;;;PLXNA4;;;;;;;Semaphorin;;21832283
APLP2;;;;PLXNA4;;;;;;;;;35922511
APP;;;;PLXNA4;;;;;;;;;35922511
SEMA4D;;;;PLXNB1;;;;;;;Semaphorin;;11245885
SEMA4A;;;;PLXNB1;;;;;;;Semaphorin;;29981480
ANG;;;;PLXNB2;;;;;;Growth factor;;;29100074
SEMA4D;;;;PLXNB2;;;;;;;Semaphorin;;11245885
SEMA4A;;;;PLXNB2;;;;;;;Semaphorin;;29981480
SEMA4C;;;;PLXNB2;;;;;;;Semaphorin;;"17554007; 29555978"
SEMA4A;;;;PLXNB3;;;;;;;Semaphorin;;11245885
SEMA5A;;;;PLXNB3;;;;;;;Semaphorin;;15218527
SEMA4D;;;;PLXNB3;;;;;;;Semaphorin;;35922511
SEMA7A;;;;PLXNC1;;;;;;;Semaphorin;;"17671519;10520995"
SEMA4A;;;;PLXND1;;;;;;;Semaphorin;;11245885
SEMA3E;;;;PLXND1;;;;;;;Semaphorin;;"21724832; 20664171"
PRL;;;;PRLR;;;;;;Cytokine;type 1;;18467331
ICAM5;;;;PRTG;;;;;;;;;32822567
IGFBP7;;;;PRTG;;;;;;;;;32822567
IGFBPL1;;;;PRTG;;;;;;;;;32822567
LTF;;;;PRTG;;;;;;;;;32822567
WFIKKN2;;;;PRTG;;;;;;;;;32822567
SHH;;;;PTCH1;;;;;;;;;27647915
IHH;;;;PTCH1;;;;;;;;;29274272
IHH;;;;PTCH2;;;;;;;;;29274272
PTH;;;;PTH1R;;;;;;;;;12947048
PTHLH;;;;PTH1R;;;;;;;;;15361064
PTH;;;;PTH2R;;;;;;;;;7797535
PTHLH;;;;PTH2R;;;;;;;;;8702701
GAS1;;;;PTPRA;;;;;;;;;36178190
SEMA4D;;;;PTPRC;;;;;;;Semaphorin;;8955171
LGALS1;;;;PTPRC;;;;;;;;;10369126
MRC1;;;;PTPRC;;;;;;;;;27601670
IL1RAP;;;;PTPRD;;;;;;Cell adhesion;;;32822567
LRFN1;;;;PTPRD;;;;;LRFN1=SALM2;Cell adhesion;;;32822567
LRFN2;;;;PTPRD;;;;;;Cell adhesion;;;32822567
LRFN3;;;;PTPRD;;;;;LRFN3=SALM4;Cell adhesion;;;32822567
LRFN4;;;;PTPRD;;;;;LRFN4=SALM3;Cell adhesion;;;32822567
LRFN5;;;;PTPRD;;;;;LRFN5=SALM5;Cell adhesion;;;32822567
OMG;;;;PTPRD;;;;;;Cell adhesion;;;36178190
LRFN1;;;;PTPRF;;;;;;Cell adhesion;;;32822567
LRFN2;;;;PTPRF;;;;;;Cell adhesion;;;32822567
LRFN4;;;;PTPRF;;;;;;Cell adhesion;;;32822567
LRFN5;;;;PTPRF;;;;;;Cell adhesion;;;32822567
OMG;;;;PTPRF;;;;;;Cell adhesion;;;36178190
IL1RAP;;;;PTPRF;;;;;;Cell adhesion;;;"35922511; 32822567"
SCD2;;;;PTPRJ;;;;;;Cell adhesion;;;21813734
PTPRK;;;;PTPRK;;;;;;Cell adhesion;;;8264577
PTPRM;;;;PTPRM;;;;;;Cell adhesion;;;8394372
DSCAM;;;;PTPRM;;;;;;Cell adhesion;;;32822567
DSCAML1;;;;PTPRM;;;;;;Cell adhesion;;;32822567
IL1RAP;;;;PTPRS;;;;;;Cell adhesion;;;32822567
IL1RAPL1;;;;PTPRS;;;;;;Cell adhesion;;;32822567
IL1RAPL2;;;;PTPRS;;;;;;Cell adhesion;;;32822567
LRFN1;;;;PTPRS;;;;;;Cell adhesion;;;32822567
LRFN2;;;;PTPRS;;;;;;Cell adhesion;;;32822567
LRFN3;;;;PTPRS;;;;;;Cell adhesion;;;32822567
LRFN4;;;;PTPRS;;;;;;Cell adhesion;;;32822567
LRFN5;;;;PTPRS;;;;;;Cell adhesion;;;32822567
OMG;;;;PTPRS;;;;;;Cell adhesion;;;36178190
DSCAM;;;;PTPRT;;;;;;Cell adhesion;;;32822567
DSCAML1;;;;PTPRT;;;;;;Cell adhesion;;;32822567
OMG;;;;PTPRU;;;;;;;;;36178190
OSTN;;;;PTPRU;;;;;;;;;36178190
CNTN1;;;;PTPRZ1;;;;;;;;;7628014
TNC;;;;PTPRZ1;;;;;;;;;11313993
IL34;;;;PTPRZ1;;;;;;;;;23744080
PTN;;;;PTPRZ1;;;;;;;;;"28569747; 10706604"
NECTIN3;;;;PVR;;;;;;;;;11544254
NECTIN2;;;;PVRIG;;;;;PVRIG=CD112R;Checkpoint;Nectin;;26755705
SLIT1;;;;ROBO1;;;;;;;;;21600986
SLIT1;;;;ROBO2;;;;;;;;;21600986
ANXA2;;;;ROBO4;;;;;;;;;29786451
WNT5A;;;;ROR1;;;;;;Wnt pathway;;;18287027
PTN;;;;ROR1;;;;;;;;;36178190
WNT1;;;;ROR2;;;;;;Wnt pathway;;;15388793
WNT3;;;;ROR2;;;;;;Wnt pathway;;;15388793
WNT3A;;;;ROR2;;;;;;Wnt pathway;;;15388793
WNT5A;;;;ROR2;;;;;;Wnt pathway;;;16602827
APOE;;;;SCARB1;;;;;;;;;12138091
TGFB1;;;;SCD2;;;;;;Cytokine;TGF;;14976204
ADCYAP1;;;;SCTR;;;;;;;;;1335692
HGF;;;;SDC1;;;;;;Cell adhesion;;;11830493
CCL5;;;;SDC1;;;;;;Cell adhesion;;;14637022
FGF2;;;;SDC1;;;;;;Cell adhesion;;;"8609172; 8621465"
CXCL8;;;;SDC2;;;;;;Cell adhesion;;;14527339
FGF2;;;;SDC2;;;;;;Cell adhesion;;;"8609172; 8621465"
TNFSF13;;;;SDC2;;;;;;;;;15846369
MDK;;;;SDC4;;;;;;Cell adhesion;;;8621465
TFPI;;;;SDC4;;;;;;Cell adhesion;;;8621465
TNC;;;;SDC4;;;;;;Cell adhesion;;;11731446
CCL5;;;;SDC4;;;;;;Cell adhesion;;;14637022
CCN1;;;;SDC4;;;;;;Cell adhesion;;;16275757
RSPO3;;;;SDC4;;;;;;Cell adhesion;;;21397842
VTN;;;;SDC4;;;;;;Cell adhesion;;;14681059
FGF2;;;;SDC4;;;;;;Cell adhesion;;;"8609172; 8621465"
THBS1;;;;SDC4;;;;;;ECM interaction;;;17879962
CEACAM1;;;;SELE;;;;;;Cell adhesion;;;1378450
GLG1;;;;SELE;;;;;;Cell adhesion;;;11404363
SERPING1;;;;SELE;;;;;;Cell adhesion;;;14568956
PODXL2;;;;SELE;;;;;;Cell adhesion;;;18606703
BSG;;;;SELE;;;;;;Cell adhesion;;;19443639
SELPLG;;;;SELE;;;;;;Cell adhesion;;;26124272
CD34;;;;SELE;;;;;;Cell adhesion;;;29296932
ANPEP;;;;SELE;;;;;;Cell adhesion;;;29777742
CD44;;;;SELE;;;;;;Cell adhesion;;;29777742
MUC7;;;;SELL;;;;;;Cell adhesion;;;9538010
PODXL;;;;SELL;;;;;;Cell adhesion;;;9625756
CFH;;;;SELL;;;;;;Cell adhesion;;;10377245
SELPLG;;;;SELL;;;;;;Cell adhesion;;;10725346
CD34;;;;SELL;;;;;;Cell adhesion;;;"12889478; 35922511"
PODXL2;;;;SELL;;;;;;Cell adhesion;;;"18606703; 12889478"
VCAN;;;;SELL;;;;;;ECM interaction;;;10950950
SELPLG;;;;SELP;;;;;;Cell adhesion;;;9128259
CD24;;;;SELP;;;;;;Cell adhesion;;;9129046
PODXL2;;;;SELP;;;;;;Cell adhesion;;;18606703
CD34;;;;SELP;;;;;;Cell adhesion;;;29296932
SERPING1;;;;SELP;;;;;;Cell adhesion;;;14568956
VCAN;;;;SELP;;;;;;ECM interaction;;;10950950
IL1F10;;;;SIGIRR;;;;;TIR8;Cytokine;IL1 family;;22315422 ,  31387327
CD52;;;;SIGLEC10;;;;;;;;;29997173
CD24;;;;SIGLEC10;;;;;;;;;31367043
SELPLG;;;;SIGLEC5;;;;;;;;;27892504
SFTPD;;;;SIRPA;;;;;;;;;22511785
CD47;;;;SIRPA;;;;;;;;;"17070842; 15294972"
CD47;;;;SIRPG;;;;;;;;;15383453
SLAMF1;;;;SLAMF1;;;;;SLAMF1=CD150;;SLAM;;15539155
SLAMF6;;;;SLAMF6;;;;;SLAMF6=NTBA;;SLAM;;15879084
SMOC1;;;;SMOC2;;;;;;;;;36178190
NGF;;;;SORCS3;;;;;;;;;15710408
LRPAP1;;;;SORL1;;;;;;;;;8940146
LRPAP1;;;;SORT1;;;;;;;;;9013611
GRN;;;;SORT1;;;;;;;;;22361451, 24163244
ICAM1;;;;SPN;;;;;SPN=CD43;;;;1683685
SIGLEC1;;;;SPN;;;;;SPN=CD43;;;;35922511
TXLNA;;;;STX1A;;;;;;Cytokine;;;12558796
TXLNA;;;;STX3;;;;;TXLNA=IL14;Cytokine;;;12558796
TXLNA;;;;STX4;;;;;;Cytokine;;;12558796
ANGPT1;;;;TEK;;;;;TIE2;Growth factor;;;9723709
ANGPT2;;;;TEK;;;;;;Growth factor;;;9723709
ANGPT4;;;;TEK;;;;;;Growth factor;;;9723709
LECT2;;;;TIE1;;;;;;;;;31474362
NECTIN3;;;;TIGIT;;;;;;Checkpoint;Nectin;;26927206
NECTIN2;;;;TIGIT;;;;;;Checkpoint;Nectin;;27192565
PVR;;;;TIGIT;;;;;PVR=CD155;Checkpoint;Nectin;;27192565
SFTPA1;;;;TLR2;;;;;;Innate immune;TLR;;11724772
SFTPA2;;;;TLR2;;;;;;Innate immune;TLR;;11724772
RNASE2;;;;TLR2;;;;;;Innate immune;TLR;;18195069
ZG16B;;;;TLR2;;;;;;Innate immune;TLR;;20802527
DCN;;;;TLR2;;;;;;Innate immune;TLR;;22087031
BGN;;;;TLR2;;;;;;Innate immune;TLR;;24480070
PRG4;;;;TLR2;;;;;;Innate immune;TLR;;26643105
VCAN;;;;TLR2;;;;;;Innate immune;TLR;;26711349
ANXA2;;;;TLR2;;;;;;Innate immune;TLR;;26885373
S100A8;;;;TLR4;;;;;;Innate immune;TLR;;17767165
DEFB4A;;;;TLR4;;;;;;Innate immune;TLR;;19735472
DEFB4B;;;;TLR4;;;;;;Innate immune;TLR;;19735472
ZG16B;;;;TLR4;;;;;;Innate immune;TLR;;20802527
DCN;;;;TLR4;;;;;;Innate immune;TLR;;22087031
BGN;;;;TLR4;;;;;;Innate immune;TLR;;24480070
PRG4;;;;TLR4;;;;;;Innate immune;TLR;;26643105
S100A9;;;;TLR4;;;;;;Innate immune;TLR;;17767165
ZG16B;;;;TLR5;;;;;;Innate immune;TLR;;20802527
ZG16B;;;;TLR6;;;;;;Innate immune;TLR;;20802527
RNASET2;;;;TLR8;;;;;;Innate immune;TLR;;31778653
HHLA2;;;;TMIGD2;;;;;"HHLA2=B7H7 ; TMIGD2=CD28H";Checkpoint;B7;;28679835
TNFSF10;;;;TNFRSF10A;;;;;"TNFSF10=TRAIL; TNFRSF10A=DR4";Cytokine;TNF;;11239407
TNFSF10;;;;TNFRSF10B;;;;;TNFRSF10B=DR5;Cytokine;TNF;;11239407
TNFSF10;;;;TNFRSF10C;;;;;;Cytokine;TNF;;11239407
TNFSF10;;;;TNFRSF10D;;;;;;Cytokine;TNF;;11239407
TNFSF11;;;;TNFRSF11A;;;;;"TNFRSF11A=RANK ; TNFSF11=RANKL";Cytokine;TNF;;11239407
TNFSF10;;;;TNFRSF11B;;;;;;Cytokine;TNF;;11239407
TNFSF11;;;;TNFRSF11B;;;;;TNFRSF11B=OPG;Cytokine;TNF;;11239407
VWF;;;;TNFRSF11B;;;;;;Cytokine;TNF;;15799029
TNFSF12;;;;TNFRSF12A;;;;;TNFSF12 = TWEAK;Cytokine;TNF;;11239407
TNFSF13;;;;TNFRSF13B;;;;;TNFRSF13B = TACI /TNFSF13 =APRIL;Cytokine;TNF;;11239407
TNFSF13B;;;;TNFRSF13B;;;;;TNFSF13B = BAFF;Cytokine;TNF;;11239407
TNFSF13B;;;;TNFRSF13C;;;;;TNFSF13C= BAFFR;Cytokine;TNF;;11239407
BTLA;;;;TNFRSF14;;;;;TNFRSF14  = HVEM;Checkpoint;TNF;Cytokine;"15568026;  12796776"
CD160;;;;TNFRSF14;;;;;TNFRSF14  = HVEM;Checkpoint;TNF;Cytokine;"21959263; 18193050"
LTA;;;;TNFRSF14;;;;;TNFRSF14  = HVEM;Cytokine;TNF;;7995952
TNFSF14;;;;TNFRSF14;;;;;"TNFSF14=LIGHT ; TNFRSF14=HVEM";Cytokine;TNF;;11239407
TNFSF13;;;;TNFRSF17;;;;;TNFRSF17 = BCMA;Cytokine;TNF;;11239407
TNFSF13B;;;;TNFRSF17;;;;;;Cytokine;TNF;;11239407
TNFSF18;;;;TNFRSF18;;;;;TNFRSF18 = GITR;Checkpoint;TNF;Cytokine;11239407
LTA;;;;TNFRSF1A;;;;;;Cytokine;TNF;;7995952
TNF;;;;TNFRSF1A;;;;;;Cytokine;TNF;;11239407
GRN;;;;TNFRSF1A;;;;;;Cytokine;TNF;Growth factor;21393509
LTA;;;;TNFRSF1B;;;;;;Cytokine;TNF;;7995952
TNF;;;;TNFRSF1B;;;;;;Cytokine;TNF;;11239407
GRN;;;;TNFRSF1B;;;;;;Cytokine;TNF;Growth factor;21393509
APP;;;;TNFRSF21;;;;;;Cytokine;TNF;;19225519
PI16;;;;TNFRSF21;;;;;;Cytokine;TNF;;35922511
TNFSF15;;;;TNFRSF25;;;;;;Cytokine;TNF;;11239407
TNFSF4;;;;TNFRSF4;;;;;TNFSF4 = OX40L;Checkpoint;TNF;Cytokine;11239407
FASLG;;;;TNFRSF6B;;;;;;Cytokine;TNF;;11239407
TNFSF14;;;;TNFRSF6B;;;;;TNFRSF6B=DCR3;Cytokine;TNF;;11239407
TNFSF15;;;;TNFRSF6B;;;;;VEGI=TNFSF15;Cytokine;TNF;;11239407
TNFSF8;;;;TNFRSF8;;;;;CD30L/CD30;Cytokine;TNF;;11239407
TNFSF9;;;;TNFRSF9;;;;;"TNFSF9 = 4-1BBL=CD137L ; TNFRSF9=CD137";Checkpoint;TNF;Cytokine;11239407
GAS6;;;;TYRO3;;;;;;;;;25568918
PROS1;;;;TYRO3;;;;;;;;;25568918
NTN1;;;;UNC5C;;;;;;;;;12810718
TGFB1;;;;VASN;;;;;;;;;30252131
JAG1;;;;VASN;;;;;;;;;35922511
JAG2;;;;VASN;;;;;;;;;35922511
ADCYAP1;;;;VIPR1;;;;;;;;;11897681,9928018, 11931347, 16930633, 8791009,12429744,
ADCYAP1;;;;VIPR2;;;;;;;;;16930633, 11978642, 9928018, 11931347,8146174,
LRPAP1;;;;VLDLR;;;;;;;;;8083232
RELN;;;;VLDLR;;;;;;;;;10571241
HLA-E;;;;VSIR;;;;;;HLA recognition;;;35922511
HLA-F;;;;VSIR;;;;;;HLA recognition;;;35922511
IGSF11;;;;VSIR;;;;;;;;;30220083
BTLA;;;;VTCN1;;;;;VTCN1=B7H4=B7x;Checkpoint;B7;;12796776
WNT1;;;;WIF1;;;;;;Wnt pathway;;;15735684
XCL1;;;;XCR1;;;;;;Chemokine;C;;"9632725; 22633458"
XCL2;;;;XCR1;;;;;;Chemokine;C;;"9632725; 22633458"
